"Name","Unit","Price","Category ID"
"HPL НФТ-2 Стандарт [Вудлайн тёмный]","р\шт","15000","12"
"HPL НФТ-2 Стандарт [Вудлайн тёмный]","р\л","9400","12"
"HPL НФТ-2 Нестандарт [Вудлайн тёмный]","р\шт","16200","12"
"HPL НФТ-2 Нестандарт [Вудлайн тёмный]","р\л","10100","12"
"HPL НФТ-3 Стандарт [Вудлайн тёмный]","р\шт","14900","12"
"HPL НФТ-3 Стандарт [Вудлайн тёмный]","р\л","9300","12"
"HPL НФТ-3 Нестандарт [Вудлайн тёмный]","р\шт","16200","12"
"HPL НФТ-3 Нестандарт [Вудлайн тёмный]","р\л","10100","12"
"HPL НФТ-2 Стандарт [Пиано]","р\шт","13300","12"
"HPL НФТ-2 Стандарт [Пиано]","р\л","7900","12"
"HPL НФТ-2 Нестандарт [Пиано]","р\шт","14400","12"
"HPL НФТ-2 Нестандарт [Пиано]","р\л","8600","12"
"HPL НФТ-3 Стандарт [Пиано]","р\шт","13300","12"
"HPL НФТ-3 Стандарт [Пиано]","р\л","7900","12"
"HPL НФТ-3 Нестандарт [Пиано]","р\шт","14400","12"
"HPL НФТ-3 Нестандарт [Пиано]","р\л","8600","12"
"HPL НФТ-2 Стандарт [Вяз шоколадный]","р\шт","15000","12"
"HPL НФТ-2 Стандарт [Вяз шоколадный]","р\л","9300","12"
"HPL НФТ-2 Нестандарт [Вяз шоколадныйо]","р\шт","16200","12"
"HPL НФТ-2 Нестандарт [Вяз шоколадныйо]","р\л","10100","12"
"HPL НФТ-3 Стандарт [Вяз шоколадный]","р\шт","15400","12"
"HPL НФТ-3 Стандарт [Вяз шоколадный]","р\л","9300","12"
"HPL НФТ-3 Нестандарт [Вяз шоколадный]","р\шт","16700","12"
"HPL НФТ-3 Нестандарт [Вяз шоколадный]","р\л","10100","12"
"HPL НФТ-4 Стандарт [Дуб Чарлстон + чёрный]","р\шт","15200","12"
"HPL НФТ-4 Стандарт [Дуб Чарлстон + чёрный]","р\л","8800","12"
"HPL НФТ-4 Нестандарт [Дуб Чарлстон + чёрный]","р\шт","17000","12"
"HPL НФТ-4 Нестандарт [Дуб Чарлстон + чёрный]","р\л","10100","12"
"HPL НФТ-5 Стандарт [Дуб Чарлстон + чёрный]","р\шт","15500","12"
"HPL НФТ-5 Стандарт [Дуб Чарлстон + чёрный]","р\л","9900","12"
"HPL НФТ-5 Нестандарт [Дуб Чарлстон + чёрный]","р\шт","17700","12"
"HPL НФТ-5 Нестандарт [Дуб Чарлстон + чёрный]","р\л","11500","12"
"HPL НФТ-4 Стандарт [Вудлайн тёмный + чёрный]","р\шт","15600","12"
"HPL НФТ-4 Стандарт [Вудлайн тёмный + чёрный]","р\л","8700","12"
"HPL НФТ-4 Нестандарт [Вудлайн тёмный + чёрный]","р\шт","18200","12"
"HPL НФТ-4 Нестандарт [Вудлайн тёмный + чёрный]","р\л","11500","12"
"HPL НФТ-5 Стандарт [Вудлайн тёмный + чёрный]","р\шт","16600","12"
"HPL НФТ-5 Стандарт [Вудлайн тёмный + чёрный]","р\л","10700","12"
"HPL НФТ-5 Нестандарт [Вудлайн тёмный + чёрный]","р\шт","18900","12"
"HPL НФТ-5 Нестандарт [Вудлайн тёмный + чёрный]","р\л","12400","12"
"HPL НФТ-4 Стандарт [Пиано + чёрный]","р\шт","14100","12"
"HPL НФТ-4 Стандарт [Пиано + чёрный]","р\л","10200","12"
"HPL НФТ-4 Нестандарт [Пиано + чёрный]","р\шт","16200","12"
"HPL НФТ-4 Нестандарт [Пиано + чёрный]","р\л","11800","12"
"HPL НФТ-5 Стандарт [Пиано + чёрный]","р\шт","14800","12"
"HPL НФТ-5 Стандарт [Пиано + чёрный]","р\л","9400","12"
"HPL НФТ-5 Нестандарт [Пиано + чёрный]","р\шт","17000","12"
"HPL НФТ-5 Нестандарт [Пиано + чёрный]","р\л","11000","12"
"HPL НФТ-4 Стандарт [Вяз шоколадный + чёрный]","р\шт","16700","12"
"HPL НФТ-4 Стандарт [Вяз шоколадный + чёрный]","р\л","9600","12"
"HPL НФТ-4 Нестандарт [Вяз шоколадный + чёрный]","р\шт","18600","12"
"HPL НФТ-4 Нестандарт [Вяз шоколадный + чёрный]","р\л","10900","12"
"HPL НФТ-5 Стандарт [Вяз шоколадный + чёрный]","р\шт","17000","12"
"HPL НФТ-5 Стандарт [Вяз шоколадный + чёрный]","р\л","11000","12"
"HPL НФТ-5 Нестандарт [Вяз шоколадный + чёрный]","р\шт","19300","12"
"HPL НФТ-5 Нестандарт [Вяз шоколадный + чёрный]","р\л","12700","12"
"Шуруп 3,5*12","р\шт","0,25","12"
"Уплотнитель 170","р\п.м","10","12"
"Заглушки D22 для рамок стеклопакета","р\шт","4","12"
"Kombi","р\шт","0","12"
"Verso","р\шт","0","12"
"Forta","р\шт","0","12"
"Stark","р\шт","0","12"
"ПП ОК","р\шт","0","12"
"ПП ЗК","р\шт","0","12"
"Optima","р\шт","0","12"
"Credo","р\шт","7000","12"
"Credo SP","р\шт","7000","12"
"Senator SP","р\шт","7000","12"
"Senator Max SP","р\шт","7000","12"
"Nova","р\шт","2000","12"
"Imperato","р\шт","7000","12"
"Darkwood SP","р\шт","7000","12"
"Soros","р\шт","5000","12"
"Drevos SP","р\шт","7000","12"
"Veles","р\шт","5000","12"
"Болт М8х20 ГОСТ 7798","р\шт","8,13","21"
"Болт М8х65 DIN933","р\шт","7,42","21"
"Винт 4х25 DIN967","р\шт","0,96","21"
"Заклепка резьбовая м8","р\шт","4,65","21"
"ФЗП Изготовление модуля","р\шт","3500","21"
"МДФ t=16 мм, м2","р\шт","375","21"
"Ручка REDLINE (чёрная)","р\шт","350","22"
"Броненакладка REDLINE (черная)-42753","р\шт","380","22"
"Накладка сувальдная REDLINE (черная)-42777","р\шт","50","22"
"Вертушок REDLINE (черный)-42745","р\шт","90","22"
"Вертушок на шток черный","р\шт","70","22"
"Ручка REDLINE A-527 SSC хром матовый","р\шт","370","22"
"Броненакладка врезная REDLINE 050-080-C SSC матовый хром","р\шт","385,2","22"
"Накладка REDLINE сувальдная матовый хром 050-02 SSC","р\шт","50","22"
"Глазок квадратный REDLINE GL 70*130/16 SSC матовый хром","р\шт","115","22"
"Вертушок REDLINE на квадратном основании 050-TL SSC мат. хром","р\шт","90","22"
"Вертушок на шток матовый хром","р\шт","70","22"
"Цинкогрунт","р\кг","420","2"
"Антик медь","р\кг","390","2"
"Антик серебро","р\кг","480","2"
"Букле серый","р\кг","450","2"
"Букле чёрный","р\кг","347","2"
"Букле опал","р\кг","410","2"
"Муар 1019","р\кг","375","2"
"Муар чёрный 9005","р\кг","255","2"
"Муар 7021","р\кг","360","2"
"Муар 7024","р\кг","370","2"
"Муар 9003","р\кг","395","2"
"Муар 6028","р\кг","480","2"
"Бронза 74П-566","р\кг","380","2"
"Синий 74П-220","р\кг","515","2"
"Золото на белом","р\кг","650","2"
"Серебро на белом","р\кг","590","2"
"Шагрень 9003","р\кг","450","2"
"Муар металлик бронзовый","р\кг","600","2"
"Муар металлик 8019","р\кг","500","2"
"Муар металлик синий","р\кг","540","2"
"Муар металлик чёрный","р\кг","470","2"
"Муар металлик серый","р\кг","435","2"
"Задвижка 65","р\компл.","64","3"
"Эксцентрик","р\компл.","32","3"
"Acuretto ML-16","р\компл.","360","3"
"Гардиан 32.11","р\компл.","817","3"
"Гардиан 71.14","р\компл.","5784","3"
"Acuretto ML-18","р\компл.","485","3"
"Гардиан 30.11","р\компл.","1521","3"
"Гардиан 72.16 (Редукторный)","р\компл.","3098","3"
"Acuretto ML-17","р\компл.","390","3"
"Гардиан 30.01","р\компл.","1015","3"
"Securemme 1663 (Редукторный)","р\компл.","7260","3"
"Double force 32.01","р\компл.","310","3"
"Гардиан 32.01","р\компл.","710","3"
"Гардиан 72.06 (Редукторный)","р\компл.","1824","3"
"DWF Profi [55/10/25]","р\компл.","240","5"
"Fuaro D-Pro 507 [55/10/25]","р\компл.","670","5"
"Secureme K-2 [55/10/25]","р\компл.","3735","5"
"DWF Profi [60/10/25]","р\компл.","296","5"
"Fuaro D-Pro 507 [60/10/25]","р\компл.","790","5"
"Secureme K-2 [60/10/25]","р\компл.","3750","5"
"Fuaro D-Proterm 507 [60/10/25]","р\компл.","798","5"
"Guardian GS Termo [60/10/25]","р\компл.","1120","5"
"Ручка (21 серия), матовое золото","р\компл.","480","6"
"Ручка FZ19-233 black ТОР","р\компл.","357","6"
"Ручка FZ19-233 матовый хром ТОР","р\компл.","350","6"
"Ручка 93 Бронза, компл.","р\компл.","277,1","6"
"Ручка 93 черн, компл.","р\компл.","245","6"
"Ручка 93 хром, компл.","р\компл.","205","6"
"Броненакладка + (21 серия), матовое золото","р\компл.","369","8"
"накладка под шток (21 серия), матовое золото","р\компл.","84","8"
"Броненакладка TOR чёрная, шт + Накладка TOR шток чёрная","р\компл.","270","8"
"Накладка TOR шток чёрная, ш","р\компл.","0","8"
"Броненакладка TOR 16-7+ответная часть ZS17-HL, матовый хром (TOR)","р\компл.","360","8"
"Накладка TOR ZS-17 (сув), матовый хром","р\компл.","0","8"
"Броненакладка врезная (Protector Pro 50/27) бронза","р\компл.","395","8"
"Накладка под шток  (DP-K-11-AB) бронза","р\компл.","81","8"
"Броненакладка овальная врезная, черн","р\компл.","240","8"
"Накладка под шток овальная, черн","р\компл.","50","8"
"Броненакладка врезная хром","р\компл.","260","8"
"Накладка цилиндровая/овальная/дешёвая хром","р\компл.","19","8"
"Накладка сувальдная (21 серия), матовое золото, комплект","р\компл.","280,54","8"
"Накладка ZS -17 (сув) black (TOR), компл","р\компл.","120","8"
"Накладка ZS-17 (сув), матовый хром (TOR), компл","р\компл.","122,4","8"
"Накладка сувальдная ""под КРИТ"", бронза (DP-13-S-Auto)","р\компл.","90","8"
"Накладка сув. овальная (DP-12-S) бронза","р\компл.","120","8"
"Накладка сувальдная ""под КРИТ"", черная","р\компл.","151","8"
"Накладка сувальдная овальная черн","р\компл.","60","8"
"Накладка сувальдная ""под КРИТ""","р\компл.","55","8"
"Накладка сувальдная/овальная/дешевая, шт","р\компл.","32","8"
"Глазок квадратный (21 серия), матовое золото","р\компл.","209,67","10"
"Глазок квадратный 70-130 черный","р\компл.","116","10"
"Глазок MY003-70/130, матовый хром","р\компл.","115","10"
"Глазок круглый 50х90/Бронза, шт","р\компл.","205","10"
"Удлинитель Глазка (только в бронзе используется)","р\компл.","43","10"
"Глазок Viever 70-130 black","р\компл.","100","10"
"Глазок круглый 70х130/Хром","р\компл.","73","10"
"Вертушок на ноч. задв. (21 серия), матовое золото","р\компл.","180,11","11"
"Вертушок 177 black (TOR), черный","р\компл.","106","11"
"Вертушок 177, матовый хром (TOR)","р\компл.","130","11"
"Вертушок бронза 8х75 (TT-0705-8/75), шт","р\компл.","145","11"
"Вертушок 8х75 черн, шт","р\компл.","100","11"
"Вертушок, хром","р\компл.","65","11"
"Английский дуб фог","р\компл.","134","13"
"Астана Эш Уайт","р\компл.","131","13"
"Белый матовый","р\компл.","113","13"
"Бетон светлый","р\компл.","119","13"
"Бетон снежный","р\компл.","110","13"
"Бетон тёмный","р\компл.","119","13"
"Верона графит","р\компл.","168","13"
"Грей","р\компл.","168","13"
"Дуб бодега золотой","р\компл.","116","13"
"Дуб бодега коричневый","р\компл.","242","13"
"Дуб бодега натуральный","р\компл.","116","13"
"Штукатурка крема","р\компл.","160","13"
"Дуб мадейра янтарь","р\компл.","170","13"
"Дуб морёный","р\компл.","281","13"
"Дуб седан белый","р\компл.","172","13"
"Дуб седан сиеста","р\компл.","172","13"
"Штукатурка лайт грей","р\компл.","165","13"
"Неаполь","р\компл.","280","13"
"Канадский дуб арктик горизонтальный","р\компл.","115","13"
"Канадский дуб пацифик горизонтальный","р\компл.","147","13"
"Красная Бургундия","р\компл.","141","13"
"Лиственница белая","р\компл.","122","13"
"Лиственница капучино","р\компл.","137","13"
"Лофт белый","р\компл.","110","13"
"Вена","р\компл.","280","13"
"Олива","р\компл.","169","13"
"Орех каньон коньяк","р\компл.","168","13"
"Ривьера айс","р\компл.","134","13"
"Санд айс","р\компл.","174","13"
"Санд антрацит","р\компл.","172","13"
"Берлин","р\компл.","280","13"
"Капучино","р\компл.","120","13"
"Палермо","р\компл.","280","13"
"Камень светлый","р\компл.","115","13"
"Сагаста","р\компл.","280","13"
"Латте","р\компл.","184","13"
"Секвойя какао","р\компл.","173","13"
"Секвойя латте","р\компл.","115","13"
"Секвойя милк","р\компл.","115","13"
"Санд тёмно синий","р\компл.","287","13"
"Статус коньяк","р\компл.","155","13"
"Чёрная шагрень","р\компл.","145","13"
"Шпон дуб коньяк","р\компл.","170","13"
"Шпон дуб натуральный","р\компл.","154","13"
"Комфорт МП (Стандарт)","р\компл.","1995","15"
"Комфорт ПП (Стандарт)","р\компл.","2203","15"
"Absolut МП (Стандарт)","р\компл.","2076","15"
"Absolut ПП (Стандарт)","р\компл.","2435","15"
"Цинкогрунтование","р\компл.","230","15"
"Установка порога из нержавейки","р\компл.","114","15"
"Закрыть коробку на Комфорт","р\компл.","122","15"
"Закрыть коробку на Absolut","р\компл.","141","15"
"Verso","р\компл.","505","15"
"Forta","р\компл.","289","15"
"Stark","р\компл.","400","15"
"Порог из нержавейки","р\компл.","500","16"
"Закрытый короб","р\компл.","0","16"
"Термокабель в короб","р\компл.","500","16"
"Цинкогрунт","р\компл.","500","16"
"Hogo P-02 + Hogo 32.21","р\компл.","6300","17"
"Hogo V-05 + Гардиан 32.21","р\компл.","17200","17"
"Dircode T850 + Гардиан 32.21","р\компл.","21000","17"
"Гардиан 32.21","р\компл.","924","17"
"Hogo D-01 с бугельной ручкой + Гардиан 32.21","р\компл.","34000","17"
"Бугельная ручка с нажимным механизмом 1600  х 60","р\компл.","10000","17"
"Бугельная ручка с нажимным механизмом 1800  х 60","р\компл.","11000","17"
"Вертушок на шток (21 серия), матовое золото","р\компл.","100","18"
"Вертушок на шток черный, шт","р\компл.","57","18"
"Вертушок на шток матовый хром","р\компл.","60","18"
"Вертушок на шток, бронза","р\компл.","100","18"
"Вертушок на шток, хром","р\компл.","74","18"
"Termo Optima","р\компл.","3347","19"
"Termo Soros","р\компл.","4419","19"
"Termo DARKWOOD SP","р\компл.","6602","19"
"Termo CREDO","р\компл.","6524","19"
"Termo CREDO  SP","р\компл.","6825","19"
"Termo SENATOR MAX SP","р\компл.","6809","19"
"Termo Drevos","р\компл.","6327","19"
"Termo Veles","р\компл.","4419","19"
"Termo SENATOR SP","р\компл.","6809","19"
"Termo Imperato","р\компл.","8807","19"
"Termo Nova","р\компл.","4154","19"
"Установка порога из нержавейки","р\компл.","139","19"
"Цинкогрунтование","р\компл.","230","19"
"Установка термокабеля","р\компл.","230","19"
"Общая база",,"0","20"
"Дверь Хаус",,"23","20"
"Град",,"25","20"
"Наценка Дорстон для Дистрибьютеров",,"20","20"
"Наценка Дорстон для Дистрибьютеров на модули снаружи металл",,"130","20"
"Наценка Дорстон для Дистрибьютеров на модули снаружи HPL",,"140","20"
"Бальев",,"30","20"
